City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,ponta do sol,32.67,-17.1,71.01,45,20,18.34,PT,1582486394
235,sitka,57.05,-135.33,33.8,86,90,11.41,US,1582486395
236,vila franca do campo,37.72,-25.43,60.8,87,20,5.82,PT,1582486395
237,la asuncion,11.03,-63.86,87.8,55,35,16.11,VE,1582486395
238,villa san giovanni,38.23,15.64,57.99,82,40,5.82,IT,1582486395
239,kloulklubed,7.04,134.26,82.27,79,44,22.62,PW,1582486395
240,shubarshi,48.59,57.19,18.79,87,65,12.15,KZ,1582486395
241,kaitangata,-46.28,169.85,60.01,81,77,4.0,NZ,1582486395
242,arraial do cabo,-22.97,-42.03,78.8,65,75,9.17,BR,1582486396
243,sitapur,27.57,80.68,61.25,75,0,3.2,IN,1582486396
244,tuy hoa,13.08,109.3,73.99,76,13,17.07,VN,1582486396
245,zorritos,-3.68,-80.68,89.6,33,40,11.41,PE,1582486396
246,miri,4.41,114.01,77.0,94,75,4.7,MY,1582486396
247,rodino,52.5,80.25,11.68,98,96,2.42,RU,1582486396
248,mutoko,-17.4,32.23,68.31,93,100,7.25,ZW,1582486397
249,siddipet,18.1,78.85,70.09,65,0,17.18,IN,1582486397
250,tarakan,3.3,117.63,77.59,79,0,9.42,ID,1582486397
251,gouyave,12.16,-61.73,78.8,88,75,13.87,GD,1582486397
252,carbonia,39.17,8.52,53.6,87,20,8.05,IT,1582486397
253,wukari,7.85,9.78,85.69,12,0,6.82,NG,1582486397
254,hailey,43.52,-114.32,39.0,59,5,10.29,US,1582486397
255,yar-sale,66.83,70.83,29.03,86,100,26.8,RU,1582486397
256,rongcheng,30.63,117.85,53.01,86,100,4.94,CN,1582486398
257,selikhino,50.37,137.5,0.09,97,100,3.13,RU,1582486398
258,zhuhai,22.28,113.57,68.0,72,100,12.75,CN,1582486398
259,lakhipur,26.03,90.3,64.11,60,12,1.77,IN,1582486398
260,kavieng,-2.57,150.8,84.4,69,26,8.39,PG,1582486398
261,mangrol,21.12,70.12,77.58,50,0,13.2,IN,1582486398
262,turbat,26.0,63.04,68.56,59,0,3.2,PK,1582486398
263,opuwo,-18.06,13.84,72.05,37,91,8.72,NA,1582486399
264,tiarei,-17.53,-149.33,84.2,70,20,4.7,PF,1582486399
265,leh,34.17,77.58,-5.19,60,0,3.87,IN,1582486399
266,billings,45.78,-108.5,41.0,47,40,3.36,US,1582486368
267,bilma,18.69,12.92,65.08,19,18,13.22,NE,1582486399
268,beloha,-25.17,45.05,75.88,88,0,3.85,MG,1582486399
269,kigali,-1.95,30.06,63.34,90,100,2.57,RW,1582486399
270,tambo,-14.8,-73.92,50.68,94,100,7.76,PE,1582486399
271,kantang,7.41,99.52,71.82,92,23,1.5,TH,1582486400
272,deputatskiy,69.3,139.9,-22.05,96,0,3.22,RU,1582486400
273,kaka,37.35,59.61,51.73,64,17,6.78,TM,1582486400
274,vidim,56.41,103.11,7.12,98,95,2.68,RU,1582486400
275,chalons-en-champagne,48.95,4.37,53.6,100,90,23.04,FR,1582486400
276,carora,10.18,-70.08,81.27,48,95,4.21,VE,1582486400
277,senanga,-16.12,23.27,70.68,86,100,9.04,ZM,1582486400
278,bambous virieux,-20.34,57.76,77.0,88,75,4.7,MU,1582486401
279,aksarka,66.56,67.8,27.32,88,100,25.26,RU,1582486401
280,abbeville,50.1,1.83,51.01,87,75,4.7,FR,1582486401
281,datong,40.09,113.29,31.3,48,100,2.77,CN,1582486401
282,machhlishahr,25.68,82.42,66.2,82,40,3.36,IN,1582486401
283,asuncion,-25.3,-57.64,86.0,27,46,4.7,PY,1582486159
284,sfantu gheorghe,45.87,25.78,48.99,64,100,5.86,RO,1582486401
285,bilibino,68.05,166.44,-31.68,98,8,2.53,RU,1582486401
